base_symbol,quote_symbol,markets_count,markets
"HAEDAL","KRW",2,"Bithumb;Coinone"
"HAEDAL","THB",1,"Bitkub"
"HAEDAL","EUR",1,"bitvavo"
"HAEDAL","USD",1,"cryptodotcom"
"HAEDAL","BTC",1,"Upbit"
"HAEDAL","TRY",1,"Binance"
"CLOUD","USDC",1,"backpack"
"CLOUD","USDT",5,"bybit;CoinEx;Gateio;Kucoin;mexc"
"CLOUD","KRW",1,"Coinone"
"CLOUD","USD",2,"cryptodotcom;Kraken"
"CLOUD","EUR",1,"Kraken"
"2Z","USDC",3,"backpack;bybit;Binance"
"2Z","USDT",6,"bitget;bybit;Gateio;OKEX;whitebit;Binance"
"2Z","THB",1,"Bitkub"
"2Z","EUR",2,"bitvavo;Kraken"
"2Z","USD",3,"Coinbase;cryptodotcom;Kraken"
"2Z","KRW",2,"Coinone;Upbit"
"2Z","BTC",1,"Upbit"
"2Z","TRY",1,"Binance"
"2Z","FDUSD",1,"Binance"
"2Z","BNB",1,"Binance"
"J","USDC",1,"backpack"
"J","USD",1,"Bitfinex"
"J","USDT",4,"bitget;bybit;Gateio;OKEX"
"WAL","USDC",3,"backpack;mexc;Binance"
"WAL","EUR",3,"bit2me;bitvavo;Kraken"
"WAL","USDT",5,"bitget;bybit;Gateio;whitebit;Binance"
"WAL","KRW",3,"Bithumb;Coinone;Upbit"
"WAL","USD",2,"cryptodotcom;Kraken"
"WAL","BTC",1,"Upbit"
"WAL","TRY",1,"Binance"
"WAL","FDUSD",1,"Binance"
"WAL","BNB",1,"Binance"
"0G","USDC",3,"backpack;mexc;Binance"
"0G","USDT",5,"bitget;bybit;Gateio;whitebit;Binance"
"0G","KRW",2,"Bithumb;Upbit"
"0G","EUR",2,"bitvavo;Kraken"
"0G","USD",2,"Cexio;Kraken"
"0G","BTC",1,"Upbit"
"0G","BNB",1,"Binance"
"0G","FDUSD",1,"Binance"
"0G","TRY",1,"Binance"
"FLOCK","USDC",2,"backpack;mexc"
"FLOCK","USDT",5,"bitget;BitMart;bybit;Gateio;mexc"
"FLOCK","EUR",1,"bitvavo"
"FLOCK","USD",1,"Coinbase"
"FLOCK","KRW",2,"Coinone;Upbit"
"FLOCK","BTC",1,"Upbit"
"IO","USDC",2,"backpack;Binance"
"IO","USDT",5,"bitget;bybit;Gateio;whitebit;Binance"
"IO","KRW",3,"Bithumb;Coinone;Korbit"
"IO","THB",1,"Bitkub"
"IO","EUR",2,"bitvavo;whitebit"
"IO","USD",2,"Coinbase;cryptodotcom"
"IO","CAD",1,"NDAX"
"IO","BTC",3,"Upbit;whitebit;Binance"
"IO","TRY",2,"whitebit;Binance"
"IO","BNB",1,"Binance"
"IO","FDUSD",1,"Binance"
"SEND","USDC",1,"backpack"
"SEND","USDT",5,"bybit;CoinEx;Gateio;mexc;phemex"
"SEND","KRW",1,"Coinone"
"SONIC","USDC",1,"backpack"
"SONIC","USDT",5,"bitget;bybit;Gateio;OKEX;whitebit"
"SONIC","KRW",3,"Bithumb;Coinone;Upbit"
"SONIC","THB",1,"Bitkub"
"SONIC","USD",2,"Kraken;OKEX"
"SONIC","EUR",2,"Kraken;whitebit"
"SONIC","BTC",1,"Upbit"
"PRCL","USDC",1,"backpack"
"PRCL","USDT",4,"bitget;bybit;Gateio;OKEX"
"PRCL","THB",1,"Bitkub"
"PRCL","USD",3,"Coinbase;cryptodotcom;Kraken"
"PRCL","KRW",1,"Coinone"
"PRCL","EUR",1,"Kraken"
"DBR","USDC",1,"backpack"
"DBR","USDT",4,"bitget;bybit;Gateio;HuobiPro"
"DBR","KRW",2,"Bithumb;Coinone"
"DBR","THB",1,"Bitkub"
"DBR","EUR",2,"bitvavo;Kraken"
"DBR","USD",3,"Coinbase;cryptodotcom;Kraken"
"PYTH","USDC",3,"backpack;bybit;Binance"
"PYTH","USDT",7,"bitget;bybit;cryptodotcom;Gateio;OKEX;whitebit;Binance"
"PYTH","KRW",3,"Bithumb;Korbit;Upbit"
"PYTH","THB",1,"Bitkub"
"PYTH","USD",6,"Bitstamp;Coinbase;cryptodotcom;Kraken;lmax;OKEX"
"PYTH","EUR",4,"Bitstamp;bitvavo;Kraken;whitebit"
"PYTH","BRL",1,"MercadoBitcoin"
"PYTH","CAD",1,"NDAX"
"PYTH","BTC",3,"Upbit;whitebit;Binance"
"PYTH","TRY",1,"Binance"
"PYTH","FDUSD",1,"Binance"
"TNSR","USDC",3,"backpack;Gateio;Binance"
"TNSR","USDT",6,"bitget;bybit;Gateio;OKEX;whitebit;Binance"
"TNSR","THB",1,"Bitkub"
"TNSR","EUR",3,"bitvavo;Kraken;whitebit"
"TNSR","USD",3,"Coinbase;cryptodotcom;Kraken"
"TNSR","KRW",1,"Coinone"
"TNSR","BRL",1,"MercadoBitcoin"
"TNSR","TRY",2,"whitebit;Binance"
"TNSR","BTC",1,"whitebit"
"KMNO","USDC",2,"backpack;Binance"
"KMNO","USDT",6,"bitget;bybit;Gateio;OKEX;whitebit;Binance"
"KMNO","KRW",2,"Bithumb;Korbit"
"KMNO","THB",1,"Bitkub"
"KMNO","EUR",2,"bitvavo;Kraken"
"KMNO","USD",3,"Coinbase;cryptodotcom;Kraken"
"KMNO","BRL",1,"MercadoBitcoin"
"W","USDC",2,"backpack;Binance"
"W","EUR",3,"bit2me;bitvavo;Kraken"
"W","USDT",7,"bitget;bybit;cryptodotcom;Gateio;OKEX;whitebit;Binance"
"W","KRW",3,"Bithumb;Korbit;Upbit"
"W","THB",1,"Bitkub"
"W","USD",4,"Coinbase;cryptodotcom;Kraken;OKEX"
"W","BTC",3,"CoinEx;Upbit;whitebit"
"W","BRL",1,"MercadoBitcoin"
"W","TRY",2,"whitebit;Binance"
"W","FDUSD",1,"Binance"
"SHFL","USDC",1,"backpack"
"FRAG","USDC",1,"backpack"
"FRAG","USDT",3,"bybit;Gateio;mexc"
"FRAG","KRW",1,"Coinone"
"SWTCH","USDC",1,"backpack"
"SWTCH","USDT",3,"bitget;Gateio;Kucoin"
"GOAT","USDC",1,"backpack"
"GOAT","EUR",3,"bit2me;bitvavo;Kraken"
"GOAT","USDT",6,"bitget;bybit;cryptodotcom;Gateio;OKEX;whitebit"
"GOAT","KRW",1,"Bithumb"
"GOAT","USD",3,"cryptodotcom;Kraken;OKEX"
"GOAT","BRL",1,"MercadoBitcoin"
"APR","USDC",2,"backpack;mexc"
"APR","USDT",3,"bitget;BitMart;Kucoin"
"APR","USD",2,"Coinbase;Kraken"
"APR","EUR",1,"Kraken"
"NS","USDC",1,"backpack"
"NS","USDT",6,"bitget;bybit;CoinEx;Gateio;Kucoin;phemex"
"NS","KRW",1,"Coinone"
"ZEX","USDC",1,"backpack"
"ZEX","USDT",4,"bybit;CoinEx;Gateio;Kucoin"
"ZEX","EUR",1,"Kraken"
"ZEX","USD",1,"Kraken"
"DEEP","USDC",1,"backpack"
"DEEP","USDT",5,"bitget;BitMart;bybit;Gateio;mexc"
"DEEP","KRW",3,"Bithumb;Coinone;Upbit"
"DEEP","EUR",2,"bitvavo;Kraken"
"DEEP","USD",2,"cryptodotcom;Kraken"
"DEEP","BTC",1,"Upbit"
"ES","USDC",2,"backpack;mexc"
"ES","USDT",5,"bitget;bybit;Gateio;HuobiPro;mexc"
"ES","KRW",2,"Bithumb;Coinone"
"ES","THB",1,"Bitkub"
"ES","USD",2,"cryptodotcom;Kraken"
"ES","EUR",1,"Kraken"
"CHZ","BTC",4,"bequant;Upbit;whitebit;Binance"
"CHZ","JPY",1,"BitBank"
"CHZ","USDT",9,"Bitfinex;bitget;bybit;Coinbase;cryptodotcom;Gateio;OKEX;whitebit;Binance"
"CHZ","USD",5,"Bitfinex;Bitstamp;Coinbase;cryptodotcom;Kraken"
"CHZ","KRW",3,"Bithumb;Korbit;Upbit"
"CHZ","THB",1,"Bitkub"
"CHZ","EUR",5,"Bitstamp;bitvavo;Coinbase;Kraken;OKEX"
"CHZ","TRY",3,"BTCTurk;whitebit;Binance"
"CHZ","USDC",4,"bullish;bybit;whitebit;Binance"
"CHZ","GBP",1,"Coinbase"
"CHZ","AUD",1,"CoinJar"
"CHZ","ETH",1,"HitBTC"
"CHZ","BRL",1,"MercadoBitcoin"
"CHZ","BNB",1,"Binance"
"BTG","USDT",2,"bequant;HitBTC"
"BTG","BTC",2,"bequant;HitBTC"
"BTG","XRP",1,"coinfield"
"BTG","KRW",1,"Coinone"
"BTG","ETH",1,"HitBTC"
"BTG","USD",1,"Yobit"
"EURS","BTC",2,"bequant;HitBTC"
"EURS","USD",1,"Bitfinex"
"EURS","USDT",1,"HitBTC"
"EURS","DAI",1,"HitBTC"
"EURS","TUSD",1,"HitBTC"
"XRP","DAI",1,"bequant"
"XRP","EURS",1,"bequant"
"XRP","USD",11,"binanceusa;Bitfinex;Bitstamp;Cexio;Coinbase;cryptodotcom;hashkey;Kraken;lmax;OKEX;whitebit"
"XRP","USDT",14,"binanceusa;Bitfinex;bitget;Bitstamp;bybit;Cexio;Coinbase;cryptodotcom;Gateio;Kraken;OKEX;Upbit;whitebit;Binance"
"XRP","JPY",5,"BitBank;bitFlyer;huobijapan;lmax;Binance"
"XRP","BTC",10,"Bitfinex;bitget;Bitstamp;bybit;cryptodotcom;Gateio;Kraken;Upbit;whitebit;Binance"
"XRP","USDC",12,"bitget;Bitstamp;bitvavo;bullish;bybit;Cexio;deribit;Gateio;Kraken;OKEX;whitebit;Binance"
"XRP","RLUSD",6,"bitget;Bitstamp;bullish;bybit;Kraken;lmax"
"XRP","EUR",13,"bitget;Bitstamp;bitvavo;bullish;bybit;Cexio;Coinbase;cryptodotcom;Kraken;lmax;OKEX;whitebit;Binance"
"XRP","ETH",4,"bitget;bullish;Kraken;Binance"
"XRP","KRW",5,"Bithumb;Coinone;gopax;Korbit;Upbit"
"XRP","THB",1,"Bitkub"
"XRP","EURC",1,"bitpanda"
"XRP","COP",1,"Bitso"
"XRP","MXN",2,"Bitso;Binance"
"XRP","GBP",4,"Bitstamp;Cexio;Kraken;lmax"
"XRP","AUD",5,"BTCMarkets;CoinJar;IndependentReserve;Kraken;OKEX"
"XRP","USDP",1,"btse"
"XRP","USD1",3,"bullish;Kucoin;mexc"
"XRP","EURCV",1,"bullish"
"XRP","AUSD",1,"bullish"
"XRP","CZK",1,"Coinmate"
"XRP","PHP",1,"coinspro"
"XRP","PYUSD",1,"cryptodotcom"
"XRP","GATEUSD",1,"Gateio"
"XRP","HT",1,"HuobiPro"
"XRP","SGD",1,"IndependentReserve"
"XRP","NZD",1,"IndependentReserve"
"XRP","CAD",2,"Kraken;NDAX"
"XRP","KCS",1,"Kucoin"
"XRP","UAH",1,"Kuna"
"XRP","ZAR",2,"Luno;valr"
"XRP","MYR",1,"Luno"
"XRP","NGN",1,"Luno"
"XRP","CHF",1,"Lykke"
"XRP","BRL",4,"MercadoBitcoin;mexc;OKEX;Binance"
"XRP","USDE",1,"mexc"
"XRP","OKB",1,"OKEX"
"XRP","AED",1,"OKEX"
"XRP","TRY",3,"OKEX;whitebit;Binance"
"XRP","USDD",1,"Poloniex"
"XRP","IDR",1,"Binance"
"XRP","FDUSD",1,"Binance"
"XRP","BNB",1,"Binance"
"XRP","TUSD",1,"Binance"
"NEAR","BTC",4,"bequant;Upbit;whitebit;Binance"
"NEAR","USD",8,"binanceusa;Bitfinex;Bitstamp;Cexio;Coinbase;cryptodotcom;Kraken;OKEX"
"NEAR","USDT",11,"binanceusa;Bitfinex;bitget;bybit;Cexio;Coinbase;cryptodotcom;Gateio;OKEX;whitebit;Binance"
"NEAR","EUR",7,"bitget;Bitstamp;bitvavo;bybit;Kraken;whitebit;Binance"
"NEAR","USDC",6,"bitget;bullish;bybit;Gateio;whitebit;Binance"
"NEAR","KRW",3,"Bithumb;Korbit;Upbit"
"NEAR","THB",1,"Bitkub"
"NEAR","AUD",1,"BTCMarkets"
"NEAR","ETH",2,"Gateio;Binance"
"NEAR","ZAR",1,"Luno"
"NEAR","MYR",1,"Luno"
"NEAR","CAD",1,"NDAX"
"NEAR","UAH",1,"whitebit"
"NEAR","TRY",2,"whitebit;Binance"
"NEAR","BRL",1,"Binance"
"NEAR","JPY",1,"Binance"
"NEAR","FDUSD",1,"Binance"
"NEAR","BNB",1,"Binance"
"BCUG","BTC",1,"bequant"
"BCUG","USDT",1,"Gateio"
"BCUG","ETH",1,"Gateio"
"BTC","BUSD",2,"bequant;HitBTC"
"BTC","USD",12,"binanceusa;Bitfinex;Bitstamp;bullish;Cexio;Coinbase;cryptodotcom;hashkey;Kraken;lmax;OKEX;whitebit"
"BTC","USDT",17,"binanceusa;Bitfinex;bitget;Bitstamp;bullish;bybit;Cexio;Coinbase;cryptodotcom;deribit;Gateio;hashkey;Kraken;OKEX;Upbit;whitebit;Binance"
"BTC","USDC",14,"binanceusa;bitget;Bitstamp;bitvavo;bullish;bybit;Cexio;deribit;Gateio;Kraken;OKEX;Upbit;whitebit;Binance"
"BTC","ILS",1,"Bit2C"
"BTC","USDR",4,"bit2me;Bitfinex;Kraken;whitebit"
"BTC","EURR",2,"bit2me;Bitfinex"
"BTC","JPY",5,"BitBank;bitFlyer;Kraken;lmax;Binance"
"BTC","USDQ",2,"Bitfinex;Kraken"
"BTC","EURT",1,"Bitfinex"
"BTC","EUR",14,"Bitfinex;bitget;Bitstamp;bitvavo;bullish;bybit;Cexio;Coinbase;cryptodotcom;Kraken;lmax;OKEX;whitebit;Binance"
"BTC","EURQ",1,"Bitfinex"
"BTC","GBP",6,"Bitfinex;Bitstamp;Cexio;Coinbase;Kraken;lmax"
"BTC","RLUSD",5,"bitget;Bitstamp;bullish;bybit;lmax"
"BTC","BRL",4,"bitget;bybit;OKEX;Binance"
"BTC","USDE",4,"bitget;bybit;deribit;mexc"
"BTC","USD1",4,"bitget;bullish;Gateio;Kraken"
"BTC","KRW",5,"Bithumb;Coinone;gopax;Korbit;Upbit"
"BTC","THB",1,"Bitkub"
"BTC","COP",1,"Bitso"
"BTC","ARS",2,"Bitso;Binance"
"BTC","USDS",2,"Bitso;Upbit"
"BTC","MXN",2,"Bitso;Binance"
"BTC","EURC",3,"Bitstamp;bullish;Kraken"
"BTC","AUD",6,"BTCMarkets;CoinJar;IndependentReserve;Kraken;Luno;OKEX"
"BTC","EURCV",1,"bullish"
"BTC","AUSD",1,"bullish"
"BTC","PYUSD",3,"bullish;cryptodotcom;Kraken"
"BTC","EURAU",1,"bullish"
"BTC","USDG",2,"bullish;Kucoin"
"BTC","USDCV",1,"bullish"
"BTC","PLN",4,"bybit;Exmo;whitebit;Binance"
"BTC","DAI",3,"bybit;Kraken;Binance"
"BTC","XUSD",1,"bybit"
"BTC","CZK",1,"Coinmate"
"BTC","UAH",3,"Exmo;whitebit;Binance"
"BTC","RUB",1,"garantex"
"BTC","GATEUSD",1,"Gateio"
"BTC","HKD",1,"hashkey"
"BTC","USDD",2,"HuobiPro;Poloniex"
"BTC","SGD",1,"IndependentReserve"
"BTC","NZD",1,"IndependentReserve"
"BTC","IDR",3,"indodax;Luno;Binance"
"BTC","CAD",2,"Kraken;NDAX"
"BTC","EUROP",1,"Kraken"
"BTC","CHF",1,"Kraken"
"BTC","KES",1,"Luno"
"BTC","NGN",1,"Luno"
"BTC","MYR",1,"Luno"
"BTC","ZAR",3,"Luno;valr;Binance"
"BTC","USDF",1,"mexc"
"BTC","TRY",3,"OKEX;whitebit;Binance"
"BTC","AED",1,"OKEX"
"BTC","TUSD",3,"Upbit;whitebit;Binance"
"BTC","USDP",1,"Upbit"
"BTC","GEL",1,"whitebit"
"BTC","KZT",1,"whitebit"
"BTC","RON",1,"Binance"
"BTC","FDUSD",1,"Binance"
"BSV","USDT",5,"bequant;bitget;Gateio;HitBTC;HuobiPro"
"BSV","KRW",3,"Bithumb;Coinone;Upbit"
"BSV","EUR",1,"BitTrex"
"BSV","AUD",1,"BTCMarkets"
"BSV","BCH",1,"CoinEx"
"BSV","USDC",2,"CoinEx;Kucoin"
"BSV","BTC",3,"CoinEx;Kucoin;Upbit"
"BSV","ETH",1,"Kucoin"
"BSV","USD",1,"OKEX"
"SHIB","BTC",3,"bequant;CoinEx;HitBTC"
"SHIB","USDT",11,"binanceusa;Bitfinex;bitget;bybit;Coinbase;cryptodotcom;Gateio;Kraken;OKEX;whitebit;Binance"
"SHIB","USD",8,"Bitfinex;Bitstamp;Cexio;Coinbase;cryptodotcom;Kraken;OKEX;whitebit"
"SHIB","EUR",9,"bitget;Bitstamp;bitvavo;bybit;Coinbase;Kraken;OKEX;whitebit;Binance"
"SHIB","USDC",6,"bitget;bybit;Gateio;Kraken;whitebit;Binance"
"SHIB","KRW",3,"Bithumb;Korbit;Upbit"
